subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
transformer,delay,2,2,0,0,1079.9949074074075,1079.9949074074075
transformer,maintenance,2,2,4176,0,580.0,4756.0
transformer,repair,2,2,1150,0,20.0,1170.0
xformer,delay,2,2,0,0,2959.120138888889,2959.120138888889
xformer,repair,2,2,147287,0,849.1666666666667,148136.1666666667
yaw,delay,2,2,0,0,130675.28472222222,130675.28472222222
yaw,repair,2,2,134974,0,9171.666666666666,144145.66666666666
blades,delay,3,3,0,0,7591.529861111111,7591.529861111111
blades,repair,3,3,284407,0,6977.5,291384.5
controls,delay,3,3,0,0,36607.77986111111,36607.77986111111
controls,repair,3,3,562378,0,9488.333333333332,571866.3333333334
electrical,delay,3,3,0,0,51830.92962962963,51830.92962962963
electrical,repair,3,3,292369,0,12021.666666666666,304390.6666666667
gearbox,delay,3,3,0,0,31231285.222685184,31231285.222685184
gearbox,repair,3,3,22002516,0,2139782.2916666665,24142298.291666668
generator,delay,3,3,0,0,4805821.46412037,4805821.46412037
generator,repair,3,3,6328582,0,349928.3333333333,6678510.333333333
heat_cool,delay,3,3,0,0,1395.8037037037036,1395.8037037037036
heat_cool,repair,3,3,284240,0,1575.0,285815.0
hub,delay,3,3,0,0,6503.24699074074,6503.24699074074
hub,repair,3,3,224490,0,4716.666666666667,229206.66666666666
main_bearing_failures,delay,3,3,0,0,519141.31124999997,519141.31124999997
main_bearing_failures,repair,3,3,1666500,0,111342.0,1777842.0
main_bearing_maintenance,delay,3,3,0,0,2932.448611111111,2932.448611111111
main_bearing_maintenance,maintenance,3,3,630000,0,1260.0,631260.0
oil,delay,3,3,0,0,3668.204861111111,3668.204861111111
oil,repair,3,3,232442,0,2805.0,235246.99999999997
other,delay,3,3,0,0,12005.531712962962,12005.531712962962
other,repair,3,3,693492,0,8891.666666666668,702383.6666666666
pitch,delay,3,3,0,0,21161.341435185186,21161.341435185186
pitch,repair,3,3,1640740,0,17681.666666666668,1658421.6666666667
power_supply,delay,3,3,0,0,110462.03958333335,110462.03958333335
power_supply,repair,3,3,1492849,0,11870.833333333334,1504719.8333333333
pump_motor,delay,3,3,0,0,3088.2344907407405,3088.2344907407405
pump_motor,repair,3,3,550006,0,2448.333333333333,552454.3333333334
relay,delay,3,3,0,0,318607.82685185183,318607.82685185183
relay,repair,3,3,755677,0,51360.0,807037.0
safety,delay,3,3,0,0,1406.5631944444444,1406.5631944444444
safety,repair,3,3,169042,0,1141.6666666666665,170183.66666666666
sensors,delay,3,3,0,0,4818.215277777777,4818.215277777777
sensors,repair,3,3,688511,0,4155.0,692666.0
service_items,delay,3,3,0,0,1209.9733796296296,1209.9733796296296
service_items,repair,3,3,25155,0,1137.5,26292.5
tower_substructure,delay,3,3,0,0,973.2666666666667,973.2666666666667
tower_substructure,repair,3,3,323808,0,951.6666666666666,324759.6666666667
transformer,delay,3,3,0,0,1140.825462962963,1140.825462962963
transformer,maintenance,3,3,4176,0,580.0,4756.0
transformer,repair,3,3,4025,0,70.0,4095.0
xformer,delay,3,3,0,0,1039.1465277777777,1039.1465277777777
xformer,repair,3,3,145259,0,891.6666666666667,146150.66666666666
yaw,delay,3,3,0,0,122408.88865740741,122408.88865740741
yaw,repair,3,3,179616,0,17047.5,196663.5
blades,delay,4,4,0,0,7210.700462962963,7210.700462962963
blades,repair,4,4,306429,0,7042.5,313471.5
controls,delay,4,4,0,0,95203.01736111111,95203.01736111111
controls,repair,4,4,616414,0,9611.666666666666,626025.6666666666
electrical,delay,4,4,0,0,80080.95532407408,80080.95532407408
electrical,repair,4,4,271654,0,9153.333333333334,280807.3333333333
gearbox,delay,4,4,0,0,29480114.296296295,29480114.296296295
gearbox,repair,4,4,21597351,0,2113430.7,23710781.7
generator,delay,4,4,0,0,5823714.479861111,5823714.479861111
generator,repair,4,4,6501377,0,375284.1666666667,6876661.166666667
heat_cool,delay,4,4,0,0,2059.0983796296296,2059.0983796296296
heat_cool,repair,4,4,299728,0,1660.8333333333335,301388.8333333333
hub,delay,4,4,0,0,201640.9053240741,201640.9053240741
