subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
service_items,repair,6,6,31741,0,1355.0,33096.0
tower_substructure,delay,6,6,0,0,1489.1013888888888,1489.1013888888888
tower_substructure,repair,6,6,344786,0,1026.6666666666667,345812.6666666667
transformer,delay,6,6,0,0,1141.6530092592593,1141.6530092592593
transformer,maintenance,6,6,4176,0,580.0,4756.0
transformer,repair,6,6,2875,0,50.0,2925.0
xformer,delay,6,6,0,0,1474.1296296296296,1474.1296296296296
xformer,repair,6,6,60500,0,979.1666666666667,61479.166666666664
yaw,delay,6,6,0,0,135694.89953703704,135694.89953703704
yaw,repair,6,6,173902,0,9234.166666666666,183136.16666666666
blades,delay,7,7,0,0,854842.2974537037,854842.2974537037
blades,repair,7,7,727156,0,143265.0,870421.0
controls,delay,7,7,0,0,54356.4375,54356.4375
controls,repair,7,7,566558,0,9135.0,575693.0
electrical,delay,7,7,0,0,64611.138657407406,64611.138657407406
electrical,repair,7,7,234119,0,6353.333333333334,240472.3333333333
gearbox,delay,7,7,0,0,29058801.941203702,29058801.941203702
gearbox,repair,7,7,20227299,0,1942173.9583333333,22169472.958333332
generator,delay,7,7,0,0,5129349.4782407405,5129349.4782407405
