subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
hub,delay,8,8,0,0,147148.2560185185,147148.2560185185
hub,repair,8,8,413209,0,52285.0,465494.0
main_bearing_failures,delay,8,8,0,0,1146083.883,1146083.883
main_bearing_failures,repair,8,8,540000,0,400075.19999999995,940075.2
main_bearing_maintenance,delay,8,8,0,0,21563.11296296296,21563.11296296296
main_bearing_maintenance,maintenance,8,8,7088000,0,8860.0,7096860.0
oil,delay,8,8,0,0,3083.215277777778,3083.215277777778
oil,repair,8,8,247973,0,2845.0,250818.0
other,delay,8,8,0,0,82889.63935185185,82889.63935185185
other,repair,8,8,690934,0,14416.666666666666,705350.6666666666
pitch,delay,8,8,0,0,139442.29328703703,139442.29328703703
pitch,repair,8,8,1679310,0,25200.0,1704510.0
power_supply,delay,8,8,0,0,902603.762037037,902603.762037037
power_supply,repair,8,8,1532172,0,47700.832870370374,1579872.8328703702
pump_motor,delay,8,8,0,0,3225.7363425925923,3225.7363425925923
pump_motor,repair,8,8,601088,0,2636.6666666666665,603724.6666666667
relay,delay,8,8,0,0,736323.6081018519,736323.6081018519
relay,repair,8,8,673590,0,27421.666666666668,701011.6666666666
safety,delay,8,8,0,0,1077.399537037037,1077.399537037037
safety,repair,8,8,158334,0,1106.6666666666665,159440.66666666666
sensors,delay,8,8,0,0,3632.4118055555555,3632.4118055555555
sensors,repair,8,8,643665,0,3666.6666666666665,647331.6666666666
service_items,delay,8,8,0,0,2111.623148148148,2111.623148148148
service_items,repair,8,8,37316,0,1285.8333333333335,38601.833333333336
tower_substructure,delay,8,8,0,0,1167.4474537037038,1167.4474537037038
tower_substructure,repair,8,8,313773,0,922.5,314695.5
transformer,delay,8,8,0,0,1094.1638888888888,1094.1638888888888
transformer,maintenance,8,8,4176,0,580.0,4756.0
transformer,repair,8,8,6900,0,120.0,7020.0
xformer,delay,8,8,0,0,19834.98425925926,19834.98425925926
xformer,repair,8,8,146953,0,955.8333333333334,147908.83333333334
yaw,delay,8,8,0,0,154355.78518518517,154355.78518518517
yaw,repair,8,8,144318,0,9125.833333333334,153443.83333333334
blades,delay,9,9,0,0,1085995.432638889,1085995.432638889
blades,repair,9,9,424597,0,52237.5,476834.5
controls,delay,9,9,0,0,6175.701157407408,6175.701157407408
controls,repair,9,9,508620,0,5193.333333333333,513813.3333333333
electrical,delay,9,9,0,0,52431.279398148145,52431.279398148145
electrical,repair,9,9,272460,0,9102.5,281562.5
gearbox,delay,9,9,0,0,26937073.186342593,26937073.186342593
gearbox,repair,9,9,17950437,0,1749735.9208333334,19700172.920833334
generator,delay,9,9,0,0,6265837.067824074,6265837.067824074
generator,repair,9,9,7243312,0,464698.3333333333,7708010.333333333
heat_cool,delay,9,9,0,0,2287.4372685185185,2287.4372685185185
heat_cool,repair,9,9,321832,0,1783.3333333333335,323615.3333333333
hub,delay,9,9,0,0,885458.4650462962,885458.4650462962
hub,repair,9,9,551403,0,98720.0,650123.0
main_bearing_failures,delay,9,9,0,0,614178.936,614178.936
main_bearing_failures,repair,9,9,300000,0,222264.0,522264.0
main_bearing_maintenance,delay,9,9,0,0,21875.453009259258,21875.453009259258
main_bearing_maintenance,maintenance,9,9,7092000,0,8865.0,7100865.0
oil,delay,9,9,0,0,3236.485648148148,3236.485648148148
oil,repair,9,9,243576,0,2895.0,246470.99999999997
other,delay,9,9,0,0,96358.42199074075,96358.42199074075
other,repair,9,9,665848,0,20001.666666666668,685849.6666666666
pitch,delay,9,9,0,0,226806.71666666665,226806.71666666665
pitch,repair,9,9,1682170,0,28960.833333333332,1711130.8333333335
power_supply,delay,9,9,0,0,309491.5793981481,309491.5793981481
