run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
6,6,2022,987143.34375,831077.26875,7299.523611111111,7299.4951388888885,7299.537962962963
6,6,2023,347103.59375,1326988.4,7299.522685185185,7299.525,7299.560416666667
6,6,2024,1280137.375,544931.6,7319.4956018518515,7319.52337962963,7319.512731481482
6,6,2025,722109.65,1099176.7,7299.468055555555,7299.500925925926,7299.50787037037
6,6,2026,453416.26875,1220676.64375,7299.509953703704,7299.501620370371,7299.529629629629
6,6,2027,1098421.61875,722866.4812500001,7299.519907407407,7299.5375,7299.524537037037
6,6,2028,605064.00625,1183306.76875,7319.528472222222,7319.52037037037,7319.503472222223
6,6,2029,1013107.28125,992073.9,7299.5050925925925,7299.49699074074,7299.516666666666
6,6,2030,984632.4625,836656.25,7299.553472222222,7299.505324074074,7299.536574074074
6,6,2031,824765.0,995701.86875,7299.503472222223,7299.516666666666,7299.531712962963
6,6,2032,899153.05625,1073110.8,7319.5,7319.488888888889,7319.499074074074
6,6,2033,958340.59375,859331.35,7299.525462962963,7299.506481481481,7299.490046296296
6,6,2034,892490.0,928797.09375,7299.511574074074,7299.514814814815,7299.502314814815
6,6,2035,578037.575,1096054.50625,7299.534490740741,7299.470370370371,7299.552546296296
6,6,2036,627968.75,1049903.4625,7319.510416666667,7319.532407407407,7319.538888888889
7,7,2017,846589.29375,792355.175,7279.524537037037,7279.524305555556,7279.506018518518
7,7,2018,1140552.125,827931.29375,7299.5268518518515,7299.544675925926,7299.537962962963
7,7,2019,555392.96875,1085388.51875,7299.47337962963,7299.529398148148,7299.52824074074
7,7,2020,1457959.81875,397191.875,7319.511805555556,7319.502314814815,7319.543981481482
7,7,2021,1140866.99375,827616.25,7299.5261574074075,7299.519212962963,7299.471064814815
7,7,2022,962735.675,1005748.75,7299.548611111111,7299.553009259259,7299.529398148148
7,7,2023,824292.5,996995.3375,7299.520833333333,7299.506712962963,7299.535185185186
7,7,2024,936917.1375,888151.575,7319.53425925926,7319.527083333333,7319.505787037037
7,7,2025,677738.00625,1143548.65,7299.48125,7299.49537037037,7299.489814814815
7,7,2026,514053.2,1160039.975,7299.537962962963,7299.531018518518,7299.523842592593
7,7,2027,1347903.7625,473385.65,7299.532175925926,7299.506018518518,7299.525925925926
7,7,2028,1134055.625,691013.0875,7319.521296296296,7319.48912037037,7319.493981481482
